experiment	instrument	ms_ms_identified_percent	ms_ms	ms_ms_submitted	ms_ms_identified	peptide_sequences_identified	peaks_sequenced_percent	peaks_repeatedly_sequenced_percent	evidence__m_z	evidence__mass	evidence__score	evidence__uncalibrated_calibrated_m_z_ppm	evidence__mass_error_ppm	evidence__uncalibrated_mass_error_ppm	evidence__max_intensity_m_z_0	evidence__retention_length	evidence__number_of_data_points	evidence__number_of_scans	evidence__intensity	evidence__charge2_prop	evidence__ms_ms_count1_prop	ms_scan__cycle_time	ms_scan__ion_injection_time	ms_scan__total_ion_current	ms_scan__base_peak_intensity	ms_scan__peak_length	ms_scan__identified_multiplets_s	ms_scan__ms_ms_s	ms_scan__identified_ms_ms_s	ms_scan__ms_ms_identification_rate_percent	ms_scan__intens_comp_factor	ms_scan__ctcd_comp	ms_scan__raw_ov_ft_t	ms_scan__agc_fill	msms_scan__ion_injection_time	msms_scan__total_ion_current	msms_scan__collision_energy	msms_scan__base_peak_intensity	msms_scan__precursor_intensity	msms_scan__score	protein_counts	performance
HF190122_01	hf	47	43460	47403	22170	18427	4.9	5.3	643.313472	1468.72318	72.644	2.90035	0.0226465	2.8285	646.784130264133	0.422	47	17	22.4393758630094	9.05875046626477	9.76522528023288	0.24307	10	24.8243481476345	20.7056492600996	4.262	0.15	1.772	0.1714	9.883	0.8539	3.243	19.2755923406462	0.490000009536743	65	18.6792567178768	28	15.4959018586811	19.5786284834592	33.2247768539759	2395	good
HF190122_02	hf	47	43367	47273	22327	18536	5	5	641.828766	1466.655195	74.2825	2.5559	0.0010911	2.4779	645.313910999743	0.41715	46	17	22.5775237953506	9.05872162570172	9.78246493624911	0.24307	10	24.7089356787746	20.6311202018473	4.338	0.09185	1.543	0.1506	9.101	0.8382	3.46	19.1840389702798	0.490000009536743	65	18.8273365011085	28	15.6036842926913	19.7476595568228	35.2007145713485	2402	good
HF190122_03	hf	48	43374	47125	22819	18996	5.1	5.1	637.299539	1456.70196	75.137	2.561	0.0074493	2.4912	640.310640285181	0.412705	46	17	22.7240283233586	9.08987135889219	9.80496940797845	0.24307	10	24.8712888124194	20.6161629193617	4.3115	0.067955	1.6295	0.15165	7.5785	0.85895	3.295	19.3042363253115	0.5	65	19.0214734374908	28	15.7436510733445	19.9366482719224	37.7274811152749	2454	good
HF190319_04	hf	40	44667	48843	19711	16376	5.4	5.6	639.621798	1445.70451	66.087	1.4501	0.012339	1.3556	642.861819597185	0.42845	49	17	22.6555857497306	8.95570881478356	9.62130499180005	0.24399	10	24.7212978169286	20.6256017665068	4.1375	0.1551	2.461	0.1905	7.5165	0.8397	3.163	19.1929092103367	0.46000000834465	65	17.9795256767208	28	15.061835251307	19.5483785655143	23.0712291772702	2237	warning
HF190319_05	hf	40	44542	48721	19662	16149	5.4	5.9	638.9183	1448.75716	67.2365	1.646	0.0096617	1.5781	641.294725068362	0.43764	50	18	22.7527787535639	8.94557711491689	9.60502143763458	0.24399	10	24.8420134309054	20.7577611055608	4.258	0.1062	2.274	0.1555	6.082	0.8553	3.1	19.2835342415857	0.479999989271164	65	18.0747268523765	28	15.1103609593908	19.6490186393886	23.9125429891712	2237	warning
HF190319_06	hf	42	44844	49019	20365	16707	5.4	5.7	641.667914	1457.64229	69.01	2.122	0.0039824	2.078	644.335562426262	0.42811	49	18	22.9254693099291	8.98642016576851	9.6473095790895	0.24399	10	24.8872533444444	20.9172510431219	4.236	0.07861	2.055	0.11825	5.892	0.86145	3.055	19.3181428165493	0.479999989271164	65	18.2894470771185	28	15.2261863771969	19.8761088370573	25.7367896737907	2287	warning
HF190502_01	hf	45	51252	55754	25066	20669	5.7	5.8	654.335153	1459.71295	76.465	2.0661	0.0046024	2.0135	657.704743026308	0.44035	53	19	23.3983261850503	9.33157248318853	9.86747960921217	0.33686	6.9	26.4712702197025	22.895384410847	5.1665	0.40265	4.957	0.46535	11.42	1.0226	3.033	20.0300937716202	1	65	19.2047024746681	28	15.9391659594507	20.5910878216408	35.6453451688515	2653	good
HF190502_02	hf	44	47769	51808	22608	18994	5.6	5.5	643.5120385	1433.653955	70.1	2.59375	-0.0052384	2.5128	647.341623097169	0.44535	52	19	23.0144925158774	9.22743955878575	9.78247129569795	0.2499	10	25.7735165364449	22.2121092321209	4.809	0.1587	3.651	0.2286	7.728	0.9887	3.237	19.8900991804679	0.949999988079071	65	18.6826723216666	28	15.5219377651963	20.1670153331533	31.2894094935746	2502	warning
HF190502_03	hf	44	47575	51609	22597	18983	5.6	5.8	642.865231	1432.8402	70.908	2.45915	0.00921765	2.4215	646.806720980016	0.44957	53	19	23.0826642821521	9.24713492574511	9.78499015714298	0.24628	10	25.6376293821323	21.8436435407924	4.855	0.1589	3.217	0.2401	6.892	0.9322	3.03	19.6637710711339	0.810000002384186	65	18.7086999800522	28	15.549904967722	20.2634965205269	31.9344044837477	2512	warning
HF190514_01	hf	40	51712	56438	22695	18795	5.3	5.5	652.577248	1479.66808	66.262	1.8989	0.013123	1.8369	655.83315197801	0.43965	51	18	23.1090558799963	9.11240905474287	9.78495424039709	0.347415	10	26.0539306860356	21.829815625406	5.756	0.4302	5.217	0.5229	7.955	1.0567	2.464	20.1667409885688	0.850000023841858	65	18.2437457922988	28	15.235864651082	20.0729980903154	23.4470953647933	2481	warning
HF190514_02	hf	38	48979	53301	20256	17043	5.2	5.3	642.787349	1456.68621	62.3205	2.4146	0.018933	2.3316	645.352163109705	0.4404	51	18	22.8355130610005	9.00022291773727	9.68280743333285	0.29254	10	25.1148565705337	20.481287019996	4.651	0.2344	4.637	0.2619	5.636	0.8931	2.736	19.4831286853744	0.540000021457672	65	17.8214003074489	28	15.0329927444465	19.7363465990229	20.3811218421065	2261	bad
HF190514_03	hf	38	48353	52481	20002	16777	5.2	5.3	641.871902	1452.78241	63.727	2.57855	0.020307	2.5153	644.497840497162	0.4398	50	18	22.9734072928786	8.99971667395079	9.67019820935532	0.25223	10	25.1356699779739	20.6341374406219	4.62	0.1571	4.253	0.1751	4.7755	0.8969	2.593	19.5015279748907	0.529999971389771	65	17.9517969447046	28	15.0954794413159	19.8728001244193	21.2331854393832	2288	bad
HF190617_01	hf	47	42953	47056	22187	18521	5.1	6.3	660.8605285	1436.69697	76.143	-1.651	0.026561	-1.7415	664.827692000143	0.450145	53	19	22.030089190361	9.32150352306604	9.72123136005046	0.24376	10	24.7525643984398	20.6002777247818	4.377	0.2698	2.61	0.39935	18.105	0.844	2.454	19.2185551855849	0.389999985694885	65	19.076450285132	28	15.7906539475539	19.2711280091049	37.6455689185236	2385	good
HF190618_01	hf	46	45188	50629	23309	18351	4.7	7.9	653.351137	1425.73262	77.662	1.8585	0.000768435	1.68375	655.844771627839	0.47601	55	20	22.2425048359836	9.32653648064789	9.65413059440601	0.2449	10	25.7316142444472	21.5746859100765	4.741	0.3729	3.561	0.5315	15.97	1.0018	2.164	19.9396644333694	0.639999985694885	65	19.1868517475416	28	15.8917125140951	19.4262129189998	37.5583622088247	2369	good
